nohup: ignoring input
Namespace(batch_size=64, clip=0.4, cuda=False, gpus='0', lr=0.1, momentum=0.9, nEpochs=50, pretrained='', resume='', start_epoch=1, step=10, threads=1, weight_decay=0.0001)
Random Seed:  2660
===> Loading datasets
2118371 data samples found
===> Building model
/home/me-user/anaconda3/envs/mullenj/lib/python3.8/site-packages/torch/nn/_reduction.py:44: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
===> Setting GPU
===> Setting Optimizer
===> Training
Epoch = 1, lr = 0.1
main_vdsr.py:148: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  nn.utils.clip_grad_norm(model.parameters(),opt.clip)
===> Epoch[1](138/26479): Loss: 12995.1943359375
===> Epoch[1](139/26479): Loss: 6987.2021484375
===> Epoch[1](140/26479): Loss: 10508.1367187500
===> Epoch[1](141/26479): Loss: 14333.9169921875
===> Epoch[1](142/26479): Loss: 10417.8769531250
===> Epoch[1](143/26479): Loss: 11161.1562500000
===> Epoch[1](144/26479): Loss: 13416.4375000000
===> Epoch[1](145/26479): Loss: 15632.6259765625
===> Epoch[1](146/26479): Loss: 21925.8671875000
===> Epoch[1](147/26479): Loss: 14727.9443359375
===> Epoch[1](148/26479): Loss: 13767.9746093750
===> Epoch[1](149/26479): Loss: 13792.1484375000
===> Epoch[1](150/26479): Loss: 12040.7421875000
===> Epoch[1](151/26479): Loss: 12625.1914062500
===> Epoch[1](152/26479): Loss: 8765.1621093750
===> Epoch[1](153/26479): Loss: 10213.7382812500
===> Epoch[1](154/26479): Loss: 15494.3027343750
===> Epoch[1](155/26479): Loss: 19000.7656250000
===> Epoch[1](156/26479): Loss: 27727.5000000000
===> Epoch[1](157/26479): Loss: 18323.4785156250
===> Epoch[1](158/26479): Loss: 8646.7490234375
===> Epoch[1](159/26479): Loss: 16413.0566406250
===> Epoch[1](160/26479): Loss: 10335.0000000000
===> Epoch[1](161/26479): Loss: 10679.0634765625
===> Epoch[1](162/26479): Loss: 12674.8398437500
===> Epoch[1](163/26479): Loss: 12581.4687500000
===> Epoch[1](164/26479): Loss: 16043.6298828125
===> Epoch[1](165/26479): Loss: 18600.4062500000
===> Epoch[1](166/26479): Loss: 11695.3203125000
===> Epoch[1](167/26479): Loss: 10827.6718750000
===> Epoch[1](168/26479): Loss: 13126.6279296875
===> Epoch[1](169/26479): Loss: 16083.4716796875
===> Epoch[1](170/26479): Loss: 9480.0839843750
===> Epoch[1](171/26479): Loss: 11423.4482421875
===> Epoch[1](172/26479): Loss: 10254.3007812500
===> Epoch[1](173/26479): Loss: 13610.3886718750
===> Epoch[1](174/26479): Loss: 10369.5488281250
===> Epoch[1](175/26479): Loss: 11841.7382812500
===> Epoch[1](176/26479): Loss: 11839.1572265625
===> Epoch[1](177/26479): Loss: 16871.3339843750
===> Epoch[1](178/26479): Loss: 21349.5468750000
===> Epoch[1](179/26479): Loss: 67267.6640625000
===> Epoch[1](180/26479): Loss: 58312.3007812500
===> Epoch[1](181/26479): Loss: 20824.3300781250
===> Epoch[1](182/26479): Loss: 14157.5566406250
===> Epoch[1](183/26479): Loss: 9644.3037109375
===> Epoch[1](184/26479): Loss: 17053.0390625000
===> Epoch[1](185/26479): Loss: 17131.8886718750
===> Epoch[1](186/26479): Loss: 9393.8554687500
===> Epoch[1](187/26479): Loss: 11743.3447265625
