2118371 data samples found
Train Epoch: 0 [17000/52959 (0.024960292503237724)]
Train Epoch: 0 [17100/52959 (0.017049260437488556)]
Train Epoch: 0 [17200/52959 (0.004773433785885572)]
Train Epoch: 0 [17300/52959 (0.020701315253973007)]
Train Epoch: 0 [17400/52959 (0.012697899714112282)]
Train Epoch: 0 [17500/52959 (0.010599047876894474)]
Train Epoch: 0 [17600/52959 (0.006385606713593006)]
Train Epoch: 0 [17700/52959 (0.01112952921539545)]
Train Epoch: 0 [17800/52959 (0.007821998558938503)]
Train Epoch: 0 [17900/52959 (0.005042577162384987)]
Train Epoch: 0 [18000/52959 (0.010803287848830223)]
Train Epoch: 0 [18100/52959 (0.008073491044342518)]
Train Epoch: 0 [18200/52959 (0.0052580274641513824)]
Train Epoch: 0 [18300/52959 (0.00849207490682602)]
Train Epoch: 0 [18400/52959 (0.007287247106432915)]
Train Epoch: 0 [18500/52959 (0.006046766880899668)]
Train Epoch: 0 [18600/52959 (0.008455301634967327)]
Train Epoch: 0 [18700/52959 (0.008886083029210567)]
Train Epoch: 0 [18800/52959 (0.004603995941579342)]
Train Epoch: 0 [18900/52959 (0.0072777667082846165)]
Train Epoch: 0 [19000/52959 (0.006503427401185036)]
Train Epoch: 0 [19100/52959 (0.01324972603470087)]
Train Epoch: 0 [19200/52959 (0.009203396737575531)]
Train Epoch: 0 [19300/52959 (0.011167818680405617)]
Train Epoch: 0 [19400/52959 (0.00958188809454441)]
Train Epoch: 0 [19500/52959 (0.014665788039565086)]
Train Epoch: 0 [19600/52959 (0.00931486301124096)]
Train Epoch: 0 [19700/52959 (0.004957098979502916)]
Train Epoch: 0 [19800/52959 (0.008435015566647053)]
Train Epoch: 0 [19900/52959 (0.009502452798187733)]
Train Epoch: 0 [20000/52959 (0.005815960466861725)]
Train Epoch: 0 [20100/52959 (0.008780875243246555)]
Train Epoch: 0 [20200/52959 (0.006272345315665007)]
Train Epoch: 0 [20300/52959 (0.006947132293134928)]
Train Epoch: 0 [20400/52959 (0.009668197482824326)]
Train Epoch: 0 [20500/52959 (0.009596386924386024)]
Train Epoch: 0 [20600/52959 (0.009326525032520294)]
Train Epoch: 0 [20700/52959 (0.005451157223433256)]
Train Epoch: 0 [20800/52959 (0.0071687251329422)]
Train Epoch: 0 [20900/52959 (0.0056484839878976345)]
Train Epoch: 0 [21000/52959 (0.004810726270079613)]
Train Epoch: 0 [21100/52959 (0.008353300392627716)]
Train Epoch: 0 [21200/52959 (0.009277219884097576)]
Train Epoch: 0 [21300/52959 (0.006158992648124695)]
Train Epoch: 0 [21400/52959 (0.01856323704123497)]
Train Epoch: 0 [21500/52959 (0.006499109789729118)]
Train Epoch: 0 [21600/52959 (0.008231566287577152)]
Train Epoch: 0 [21700/52959 (0.013640659861266613)]
Train Epoch: 0 [21800/52959 (0.00425235740840435)]
Train Epoch: 0 [21900/52959 (0.005203846842050552)]
Train Epoch: 0 [22000/52959 (0.007196939550340176)]
Train Epoch: 0 [22100/52959 (0.008519461378455162)]
Train Epoch: 0 [22200/52959 (0.009701230563223362)]
Train Epoch: 0 [22300/52959 (0.009331801906228065)]
Train Epoch: 0 [22400/52959 (0.018066707998514175)]
Train Epoch: 0 [22500/52959 (0.008096039295196533)]
Train Epoch: 0 [22600/52959 (0.00611026119440794)]
Train Epoch: 0 [22700/52959 (0.005992695689201355)]
Train Epoch: 0 [22800/52959 (0.009845202788710594)]
Train Epoch: 0 [22900/52959 (0.007999571040272713)]
Train Epoch: 0 [23000/52959 (0.012145794928073883)]
Train Epoch: 0 [23100/52959 (0.01052316278219223)]
Train Epoch: 0 [23200/52959 (0.0054361047223210335)]
Train Epoch: 0 [23300/52959 (0.007661519572138786)]
Train Epoch: 0 [23400/52959 (0.00807216763496399)]
Train Epoch: 0 [23500/52959 (0.016387399286031723)]
Train Epoch: 0 [23600/52959 (0.01299415621906519)]
Train Epoch: 0 [23700/52959 (0.01239437609910965)]
Train Epoch: 0 [23800/52959 (0.006452765315771103)]
Train Epoch: 0 [23900/52959 (0.006293274462223053)]
Train Epoch: 0 [24000/52959 (0.005899359472095966)]
Train Epoch: 0 [24100/52959 (0.011125343851745129)]
Train Epoch: 0 [24200/52959 (0.00832927692681551)]
Train Epoch: 0 [24300/52959 (0.011262520216405392)]
Train Epoch: 0 [24400/52959 (0.0037899515591561794)]
Train Epoch: 0 [24500/52959 (0.010130583308637142)]
Train Epoch: 0 [24600/52959 (0.01925317943096161)]
Train Epoch: 0 [24700/52959 (0.01054416410624981)]
Train Epoch: 0 [24800/52959 (0.006553119048476219)]
Train Epoch: 0 [24900/52959 (0.01572151854634285)]
Train Epoch: 0 [25000/52959 (0.016155999153852463)]
Train Epoch: 0 [25100/52959 (0.012090103700757027)]
Train Epoch: 0 [25200/52959 (0.013133442029356956)]
Train Epoch: 0 [25300/52959 (0.012261325493454933)]
Train Epoch: 0 [25400/52959 (0.007512154057621956)]
Train Epoch: 0 [25500/52959 (0.005863513797521591)]
Train Epoch: 0 [25600/52959 (0.00685066869482398)]
