2118371 data samples found
Train Epoch: 0 [16300/169469 (0.06406261771917343)]
Train Epoch: 0 [16400/169469 (0.0509021058678627)]
Train Epoch: 0 [16500/169469 (0.0677049309015274)]
Train Epoch: 0 [16600/169469 (0.03962342068552971)]
Train Epoch: 0 [16700/169469 (0.06528162211179733)]
Train Epoch: 0 [16800/169469 (0.04968305304646492)]
Train Epoch: 0 [16900/169469 (0.03333219140768051)]
Train Epoch: 0 [17000/169469 (0.030690887942910194)]
Train Epoch: 0 [17100/169469 (0.06305290013551712)]
Train Epoch: 0 [17200/169469 (0.022575294598937035)]
Train Epoch: 0 [17300/169469 (0.05929775908589363)]
Train Epoch: 0 [17400/169469 (0.06119551882147789)]
Train Epoch: 0 [17500/169469 (0.04535312578082085)]
Train Epoch: 0 [17600/169469 (0.029475251212716103)]
Train Epoch: 0 [17700/169469 (0.04204767569899559)]
Train Epoch: 0 [17800/169469 (0.043091755360364914)]
Train Epoch: 0 [17900/169469 (0.04707418009638786)]
Train Epoch: 0 [18000/169469 (0.024965299293398857)]
Train Epoch: 0 [18100/169469 (0.03913124278187752)]
Train Epoch: 0 [18200/169469 (0.019374363124370575)]
Train Epoch: 0 [18300/169469 (0.04463689401745796)]
Train Epoch: 0 [18400/169469 (0.04174827039241791)]
Train Epoch: 0 [18500/169469 (0.03798748180270195)]
Train Epoch: 0 [18600/169469 (0.031322892755270004)]
Train Epoch: 0 [18700/169469 (0.03479615971446037)]
Train Epoch: 0 [18800/169469 (0.04416772723197937)]
Train Epoch: 0 [18900/169469 (0.047892991453409195)]
Train Epoch: 0 [19000/169469 (0.025181753560900688)]
Train Epoch: 0 [19100/169469 (0.07718867063522339)]
Train Epoch: 0 [19200/169469 (0.024043643847107887)]
Train Epoch: 0 [19300/169469 (0.06385395675897598)]
Train Epoch: 0 [19400/169469 (0.020883748307824135)]
Train Epoch: 0 [19500/169469 (0.052141498774290085)]
Train Epoch: 0 [19600/169469 (0.04096665233373642)]
Train Epoch: 0 [19700/169469 (0.027590513229370117)]
Train Epoch: 0 [19800/169469 (0.04065290465950966)]
Train Epoch: 0 [19900/169469 (0.028890836983919144)]
Train Epoch: 0 [20000/169469 (0.05966821312904358)]
Train Epoch: 0 [20100/169469 (0.04445110261440277)]
Train Epoch: 0 [20200/169469 (0.035764146596193314)]
Train Epoch: 0 [20300/169469 (0.05988549813628197)]
Train Epoch: 0 [20400/169469 (0.08444532006978989)]
Train Epoch: 0 [20500/169469 (0.05164044722914696)]
Train Epoch: 0 [20600/169469 (0.02129000425338745)]
Train Epoch: 0 [20700/169469 (0.04399384185671806)]
Train Epoch: 0 [20800/169469 (0.027614334598183632)]
Train Epoch: 0 [20900/169469 (0.047447022050619125)]
Train Epoch: 0 [21000/169469 (0.020830122753977776)]
Train Epoch: 0 [21100/169469 (0.0713302344083786)]
Train Epoch: 0 [21200/169469 (0.03815484046936035)]
Train Epoch: 0 [21300/169469 (0.03998052701354027)]
Train Epoch: 0 [21400/169469 (0.030834531411528587)]
Train Epoch: 0 [21500/169469 (0.03555022552609444)]
Train Epoch: 0 [21600/169469 (0.028280843049287796)]
Train Epoch: 0 [21700/169469 (0.02486187405884266)]
Train Epoch: 0 [21800/169469 (0.010476452298462391)]
Train Epoch: 0 [21900/169469 (0.02772396244108677)]
Train Epoch: 0 [22000/169469 (0.01744363270699978)]
Train Epoch: 0 [22100/169469 (0.0565829761326313)]
Train Epoch: 0 [22200/169469 (0.04413684830069542)]
Train Epoch: 0 [22300/169469 (0.0805382952094078)]
Train Epoch: 0 [22400/169469 (0.046261098235845566)]
Train Epoch: 0 [22500/169469 (0.02217491716146469)]
Train Epoch: 0 [22600/169469 (0.06355445832014084)]
Train Epoch: 0 [22700/169469 (0.030017241835594177)]
Train Epoch: 0 [22800/169469 (0.033959370106458664)]
Train Epoch: 0 [22900/169469 (0.03617109730839729)]
Train Epoch: 0 [23000/169469 (0.046381063759326935)]
Train Epoch: 0 [23100/169469 (0.02381705306470394)]
Train Epoch: 0 [23200/169469 (0.05651040002703667)]
Train Epoch: 0 [23300/169469 (0.03466906026005745)]
Train Epoch: 0 [23400/169469 (0.023120470345020294)]
Train Epoch: 0 [23500/169469 (0.05039913207292557)]
Train Epoch: 0 [23600/169469 (0.022032640874385834)]
Train Epoch: 0 [23700/169469 (0.02403911016881466)]
Train Epoch: 0 [23800/169469 (0.016133034601807594)]
Train Epoch: 0 [23900/169469 (0.027857160195708275)]
Train Epoch: 0 [24000/169469 (0.046849574893713)]
Train Epoch: 0 [24100/169469 (0.033533282577991486)]
Train Epoch: 0 [24200/169469 (0.027907580137252808)]
Train Epoch: 0 [24300/169469 (0.03733724355697632)]
Train Epoch: 0 [24400/169469 (0.06346161663532257)]
Train Epoch: 0 [24500/169469 (0.04311851039528847)]
Train Epoch: 0 [24600/169469 (0.05692175775766373)]
Train Epoch: 0 [24700/169469 (0.04202783480286598)]
Train Epoch: 0 [24800/169469 (0.04029705002903938)]
Train Epoch: 0 [24900/169469 (0.02597602643072605)]
Train Epoch: 0 [25000/169469 (0.041887540370225906)]
Train Epoch: 0 [25100/169469 (0.0468246266245842)]
Train Epoch: 0 [25200/169469 (0.05210961028933525)]
Train Epoch: 0 [25300/169469 (0.021101953461766243)]
Train Epoch: 0 [25400/169469 (0.07576548308134079)]
Train Epoch: 0 [25500/169469 (0.034449439495801926)]
Train Epoch: 0 [25600/169469 (0.04600241407752037)]
Train Epoch: 0 [25700/169469 (0.0315915010869503)]
Train Epoch: 0 [25800/169469 (0.03831654042005539)]
Train Epoch: 0 [25900/169469 (0.06909599900245667)]
Train Epoch: 0 [26000/169469 (0.03829581290483475)]
Train Epoch: 0 [26100/169469 (0.059141166508197784)]
Train Epoch: 0 [26200/169469 (0.044200751930475235)]
Train Epoch: 0 [26300/169469 (0.04927818104624748)]
Train Epoch: 0 [26400/169469 (0.040803708136081696)]
Train Epoch: 0 [26500/169469 (0.044323958456516266)]
Train Epoch: 0 [26600/169469 (0.04106622189283371)]
Train Epoch: 0 [26700/169469 (0.06596941500902176)]
Train Epoch: 0 [26800/169469 (0.04025746136903763)]
Train Epoch: 0 [26900/169469 (0.034147363156080246)]
Train Epoch: 0 [27000/169469 (0.030551660805940628)]
Train Epoch: 0 [27100/169469 (0.032472822815179825)]
Train Epoch: 0 [27200/169469 (0.046021994203329086)]
Train Epoch: 0 [27300/169469 (0.06802139431238174)]
Train Epoch: 0 [27400/169469 (0.050306111574172974)]
