nohup: ignoring input
2118371 data samples found
Train Epoch: 0 [20700/52959 (0.00648334389552474)]
Train Epoch: 0 [20800/52959 (0.010886067524552345)]
Train Epoch: 0 [20900/52959 (0.006776919588446617)]
Train Epoch: 0 [21000/52959 (0.005711458157747984)]
Train Epoch: 0 [21100/52959 (0.007840113714337349)]
Train Epoch: 0 [21200/52959 (0.012107012793421745)]
Train Epoch: 0 [21300/52959 (0.007375866174697876)]
Train Epoch: 0 [21400/52959 (0.014666040427982807)]
Train Epoch: 0 [21500/52959 (0.0065152812749147415)]
Train Epoch: 0 [21600/52959 (0.006551787257194519)]
Train Epoch: 0 [21700/52959 (0.010701129212975502)]
Train Epoch: 0 [21800/52959 (0.005219395738095045)]
Train Epoch: 0 [21900/52959 (0.008350968360900879)]
Train Epoch: 0 [22000/52959 (0.006702824495732784)]
Train Epoch: 0 [22100/52959 (0.007374097127467394)]
Train Epoch: 0 [22200/52959 (0.010856911540031433)]
Train Epoch: 0 [22300/52959 (0.010774482041597366)]
Train Epoch: 0 [22400/52959 (0.01611402817070484)]
Train Epoch: 0 [22500/52959 (0.006190739572048187)]
Train Epoch: 0 [22600/52959 (0.006983458995819092)]
Train Epoch: 0 [22700/52959 (0.009553561918437481)]
Train Epoch: 0 [22800/52959 (0.009028365835547447)]
Train Epoch: 0 [22900/52959 (0.009028592146933079)]
Train Epoch: 0 [23000/52959 (0.013522084802389145)]
Train Epoch: 0 [23100/52959 (0.011030921712517738)]
Train Epoch: 0 [23200/52959 (0.00660892017185688)]
Train Epoch: 0 [23300/52959 (0.007794603239744902)]
Train Epoch: 0 [23400/52959 (0.009348155930638313)]
Train Epoch: 0 [23500/52959 (0.015714038163423538)]
Train Epoch: 0 [23600/52959 (0.01096911821514368)]
Train Epoch: 0 [23700/52959 (0.013972776010632515)]
Train Epoch: 0 [23800/52959 (0.007034891750663519)]
Train Epoch: 0 [23900/52959 (0.00755635742098093)]
Train Epoch: 0 [24000/52959 (0.0065860142931342125)]
Train Epoch: 0 [24100/52959 (0.011465780436992645)]
Train Epoch: 0 [24200/52959 (0.009890444576740265)]
Train Epoch: 0 [24300/52959 (0.01028346922248602)]
Train Epoch: 0 [24400/52959 (0.00666386540979147)]
Train Epoch: 0 [24500/52959 (0.010190111584961414)]
Train Epoch: 0 [24600/52959 (0.017779335379600525)]
Train Epoch: 0 [24700/52959 (0.00911869015544653)]
Train Epoch: 0 [24800/52959 (0.00791141763329506)]
Train Epoch: 0 [24900/52959 (0.010689202696084976)]
Train Epoch: 0 [25000/52959 (0.018565505743026733)]
Train Epoch: 0 [25100/52959 (0.013525290414690971)]
Train Epoch: 0 [25200/52959 (0.012533977627754211)]
Train Epoch: 0 [25300/52959 (0.013050403445959091)]
Train Epoch: 0 [25400/52959 (0.009415077045559883)]
Train Epoch: 0 [25500/52959 (0.005579985678195953)]
Train Epoch: 0 [25600/52959 (0.007027966435998678)]
Train Epoch: 0 [25700/52959 (0.01588292419910431)]
Train Epoch: 0 [25800/52959 (0.015073041431605816)]
Train Epoch: 0 [25900/52959 (0.00725738238543272)]
Train Epoch: 0 [26000/52959 (0.00672704353928566)]
Train Epoch: 0 [26100/52959 (0.011220241896808147)]
Train Epoch: 0 [26200/52959 (0.006270670797675848)]
Train Epoch: 0 [26300/52959 (0.008414426818490028)]
Train Epoch: 0 [26400/52959 (0.007360248360782862)]
Train Epoch: 0 [26500/52959 (0.015452253632247448)]
Train Epoch: 0 [26600/52959 (0.006180259399116039)]
Train Epoch: 0 [26700/52959 (0.010025854222476482)]
Train Epoch: 0 [26800/52959 (0.010710781440138817)]
Train Epoch: 0 [26900/52959 (0.006259764079004526)]
Train Epoch: 0 [27000/52959 (0.007312656380236149)]
Train Epoch: 0 [27100/52959 (0.010229666717350483)]
Train Epoch: 0 [27200/52959 (0.005752136930823326)]
Train Epoch: 0 [27300/52959 (0.015113635919988155)]
Train Epoch: 0 [27400/52959 (0.015838749706745148)]
Train Epoch: 0 [27500/52959 (0.010299352928996086)]
Train Epoch: 0 [27600/52959 (0.007876155897974968)]
Train Epoch: 0 [27700/52959 (0.01013330277055502)]
Train Epoch: 0 [27800/52959 (0.005203009583055973)]
Train Epoch: 0 [27900/52959 (0.007677839137613773)]
Train Epoch: 0 [28000/52959 (0.006258702836930752)]
Train Epoch: 0 [28100/52959 (0.016109509393572807)]
Train Epoch: 0 [28200/52959 (0.008079588413238525)]
Train Epoch: 0 [28300/52959 (0.009217429906129837)]
Train Epoch: 0 [28400/52959 (0.006544773932546377)]
Train Epoch: 0 [28500/52959 (0.007987532764673233)]
Train Epoch: 0 [28600/52959 (0.005873708985745907)]
Train Epoch: 0 [28700/52959 (0.007443479262292385)]
Train Epoch: 0 [28800/52959 (0.007329653017222881)]
Train Epoch: 0 [28900/52959 (0.006811507046222687)]
Train Epoch: 0 [29000/52959 (0.012921929359436035)]
Train Epoch: 0 [29100/52959 (0.007315910421311855)]
Train Epoch: 0 [29200/52959 (0.005015106871724129)]
Train Epoch: 0 [29300/52959 (0.008331628516316414)]
Train Epoch: 0 [29400/52959 (0.006973303854465485)]
Train Epoch: 0 [29500/52959 (0.007353991270065308)]
Train Epoch: 0 [29600/52959 (0.01703539863228798)]
Train Epoch: 0 [29700/52959 (0.006003795191645622)]
Train Epoch: 0 [29800/52959 (0.008712373673915863)]
Train Epoch: 0 [29900/52959 (0.006843931041657925)]
Train Epoch: 0 [30000/52959 (0.009148456156253815)]
Train Epoch: 0 [30100/52959 (0.006320546381175518)]
Train Epoch: 0 [30200/52959 (0.011938491836190224)]
Train Epoch: 0 [30300/52959 (0.007934769615530968)]
Train Epoch: 0 [30400/52959 (0.025812096893787384)]
Train Epoch: 0 [30500/52959 (0.0056233699433505535)]
Train Epoch: 0 [30600/52959 (0.006735263857990503)]
Train Epoch: 0 [30700/52959 (0.007644553203135729)]
Train Epoch: 0 [30800/52959 (0.007718928158283234)]
Train Epoch: 0 [30900/52959 (0.006673034280538559)]
Train Epoch: 0 [31000/52959 (0.008939279243350029)]
Train Epoch: 0 [31100/52959 (0.0070221517235040665)]
Train Epoch: 0 [31200/52959 (0.008011991158127785)]
Train Epoch: 0 [31300/52959 (0.010822691023349762)]
